"","ENTREZID","SYMBOL","GENENAME"
"14857","100288911","CRIM1-DT","CRIM1 divergent transcript"
"14858","51232","CRIM1","cysteine rich transmembrane BMP regulator 1"
"14859","9637","FEZ2","fasciculation and elongation protein zeta 2"
"14860","5212","VIT","vitrin"
"14861","6801","STRN","striatin"
"14862","54497","HEATR5B","HEAT repeat containing 5B"
"14863","253635","GPATCH11","G-patch domain containing 11"
"14864","5610","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2"
"14865","391365","SULT6B1","sulfotransferase family 6B member 1"
"14866","100505876","CEBPZOS","CEBPZ opposite strand"
"14867","10153","CEBPZ","CCAAT enhancer binding protein zeta"
"14868","55471","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7"
"14869","23683","PRKD3","protein kinase D3"
"14870","25797","QPCT","glutaminyl-peptide cyclotransferase"
"14871","10602","CDC42EP3","CDC42 effector protein 3"
"14872","101929559","LINC00211","long intergenic non-protein coding RNA 211"
"14873","151393","RMDN2","regulator of microtubule dynamics 2"
"14874","101410544","RMDN2-AS1","RMDN2 antisense RNA 1"
"14875","1545","CYP1B1","cytochrome P450 family 1 subfamily B member 1"
"14876","105374860",NA,NA
"14877","285154","CYP1B1-AS1","CYP1B1 antisense RNA 1"
"14878","64225","ATL2","atlastin GTPase 2"
"14879","101929596","LINC02613","long intergenic non-protein coding RNA 2613"
"14880","92906","HNRNPLL","heterogeneous nuclear ribonucleoprotein L like"
"14881","130589","GALM","galactose mutarotase"
"14882","6432","SRSF7","serine and arginine rich splicing factor 7"
"14883","79833","GEMIN6","gem nuclear organelle associated protein 6"
"14884","90957","DHX57","DExH-box helicase 57"
"14885","729967","MORN2","MORN repeat containing 2"
"14886","100271715","ARHGEF33","Rho guanine nucleotide exchange factor 33"
"14887","375196","LOC375196","uncharacterized LOC375196"
"14888","6654","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1"
"14889","105374861",NA,NA
"14890","344387","CDKL4","cyclin dependent kinase like 4"
"14891","8491","MAP4K3","mitogen-activated protein kinase kinase kinase kinase 3"
"14892","728730","MAP4K3-DT","MAP4K3 divergent transcript"
"14893","130733","TMEM178A","transmembrane protein 178A"
"14894","80745","THUMPD2","THUMP domain containing 2"
"14895","100128590","SLC8A1-AS1","SLC8A1 antisense RNA 1"
"14896","6546","SLC8A1","solute carrier family 8 member A1"
"14897","388942","LINC01913","long intergenic non-protein coding RNA 1913"
"14898","101929723","LINC01914","long intergenic non-protein coding RNA 1914"
"14899","400950","C2orf91","chromosome 2 open reading frame 91"
"14900","91461","PKDCC","protein kinase domain containing, cytoplasmic"
"14901","102723824","EML4-AS1","EML4 antisense RNA 1"
"14902","27436","EML4","EMAP like 4"
"14903","9167","COX7A2L","cytochrome c oxidase subunit 7A2 like"
"14904","170850","KCNG3","potassium voltage-gated channel modifier subfamily G member 3"
"14905","57504","MTA3","metastasis associated 1 family member 3"
"14906","165140","OXER1","oxoeicosanoid receptor 1"
"14907","23498","HAAO","3-hydroxyanthranilate 3,4-dioxygenase"
"14908","105374567","LOC105374567","uncharacterized LOC105374567"
"14909","100189265","TRI-TAT2-1","tRNA-Ile (anticodon TAT) 2-1"
"14910","102723854","LINC01819","long intergenic non-protein coding RNA 1819"
"14911","100506047","LINC02580","long intergenic non-protein coding RNA 2580"
"14912","678","ZFP36L2","ZFP36 ring finger protein like 2"
"14913","100129726","LINC01126","long intergenic non-protein coding RNA 1126"
"14914","63892","THADA","THADA armadillo repeat containing"
"14915","130271","PLEKHH2","pleckstrin homology, MyTH4 and FERM domain containing H2"
"14916","728819","C1GALT1C1L","C1GALT1 specific chaperone 1 like"
"14917","51626","DYNC2LI1","dynein cytoplasmic 2 light intermediate chain 1"
"14918","64240","ABCG5","ATP binding cassette subfamily G member 5"
"14919","64241","ABCG8","ATP binding cassette subfamily G member 8"
"14920","10128","LRPPRC","leucine rich pentatricopeptide repeat containing"
"14921","5495","PPM1B","protein phosphatase, Mg2+/Mn2+ dependent 1B"
"14922","6519","SLC3A1","solute carrier family 3 member 1"
"14923","9581","PREPL","prolyl endopeptidase like"
"14924","79823","CAMKMT","calmodulin-lysine N-methyltransferase"
"14925","100506108","SIX3-AS1","SIX3 antisense RNA 1"
"14926","6496","SIX3","SIX homeobox 3"
"14927","10736","SIX2","SIX homeobox 2"
"14928","400952","LINC01121","long intergenic non-protein coding RNA 1121"
"14929","55133","SRBD1","S1 RNA binding domain 1"
"14930","102724965","LOC102724965","uncharacterized LOC102724965"
"14931","5581","PRKCE","protein kinase C epsilon"
"14932","2034","EPAS1","endothelial PAS domain protein 1"
"14933","101805491","LINC02583","long intergenic non-protein coding RNA 2583"
"14934","388946","TMEM247","transmembrane protein 247"
"14935","90423","ATP6V1E2","ATPase H+ transporting V1 subunit E2"
"14936","23433","RHOQ","ras homolog family member Q"
"14937","100506142","LOC100506142","uncharacterized LOC100506142"
"14938","5281","PIGF","phosphatidylinositol glycan anchor biosynthesis class F"
"14939","9419","CRIPT","CXXC repeat containing interactor of PDZ3 domain"
"14940","9655","SOCS5","suppressor of cytokine signaling 5"
"14941","388948","LINC01118","long intergenic non-protein coding RNA 1118"
"14942","100134259","LINC01119","long intergenic non-protein coding RNA 1119"
"14943","90411","MCFD2","multiple coagulation factor deficiency 2"
"14944","57217","TTC7A","tetratricopeptide repeat domain 7A"
"14945","285051","STPG4","sperm-tail PG-rich repeat containing 4"
"14946","805","CALM2","calmodulin 2"
"14947","101927043","EPCAM-DT","EPCAM divergent transcript"
"14948","618","BCYRN1","brain cytoplasmic RNA 1"
"14949","4072","EPCAM","epithelial cell adhesion molecule"
"14950","693144","MIR559","microRNA 559"
"14951","4436","MSH2","mutS homolog 2"
"14952","56660","KCNK12","potassium two pore domain channel subfamily K member 12"
"14953","644093","MSH2-OT1","MSH2 overlapping transcript 1"
"14954","2956","MSH6","mutS homolog 6"
"14955","80204","FBXO11","F-box protein 11"
"14956","3344","FOXN2","forkhead box N2"
"14957","129285","PPP1R21","protein phosphatase 1 regulatory subunit 21"
"14958","286749","STON1-GTF2A1L","STON1-GTF2A1L readthrough"
"14959","11037","STON1","stonin 1"
"14960","11036","GTF2A1L","general transcription factor IIA subunit 1 like"
"14961","3973","LHCGR","luteinizing hormone/choriogonadotropin receptor"
"14962","2492","FSHR","follicle stimulating hormone receptor"
"14963","102465854","MIR548BA","microRNA 548ba"
"14964","9378","NRXN1","neurexin 1"
"14965","103504737","MIR8485","microRNA 8485"
"14966","730100","LOC730100","uncharacterized LOC730100"
"14967","100616431","MIR4431","microRNA 4431"
"14968","51130","ASB3","ankyrin repeat and SOCS box containing 3"
"14969","100302652","GPR75-ASB3","GPR75-ASB3 readthrough"
"14970","494143","CHAC2","ChaC cation transport regulator homolog 2"
"14971","27248","ERLEC1","endoplasmic reticulum lectin 1"
"14972","100500850","MIR3682","microRNA 3682"
"14973","10936","GPR75","G protein-coupled receptor 75"
"14974","23198","PSME4","proteasome activator subunit 4"
"14975","98","ACYP2","acylphosphatase 2"
"14976","388951","TSPYL6","TSPY like 6"
"14977","129852","C2orf73","chromosome 2 open reading frame 73"
"14978","6711","SPTBN1","spectrin beta, non-erythrocytic 1"
"14979","56969","RPL23AP32","ribosomal protein L23a pseudogene 32"
"14980","400954","EML6","EMAP like 6"
"14981","57142","RTN4","reticulon 4"
"14982","130162","CLHC1","clathrin heavy chain linker domain containing 1"
"14983","6233","RPS27A","ribosomal protein S27a"
"14984","4528","MTIF2","mitochondrial translational initiation factor 2"
"14985","344405","PRORSD1P","prolyl-tRNA synthetase associated domain containing 1, pseudogene"
"14986","55704","CCDC88A","coiled-coil domain containing 88A"
"14987","112942","CFAP36","cilia and flagella associated protein 36"
"14988","57223","PPP4R3B","protein phosphatase 4 regulatory subunit 3B"
"14989","87178","PNPT1","polyribonucleotide nucleotidyltransferase 1"
"14990","2202","EFEMP1","EGF containing fibulin extracellular matrix protein 1"
"14991","104355290","MIR217HG","MIR217 host gene"
"14992","406999","MIR217","microRNA 217"
"14993","406998","MIR216A","microRNA 216a"
"14994","100126319","MIR216B","microRNA 216b"
"14995","100129434","LOC100129434","uncharacterized LOC100129434"
"14996","114800","CCDC85A","coiled-coil domain containing 85A"
"14997","7444","VRK2","VRK serine/threonine kinase 2"
"14998","55120","FANCL","FA complementation group L"
"14999","400955","LINC01122","long intergenic non-protein coding RNA 1122"
"15000","101927285","LINC01793","long intergenic non-protein coding RNA 1793"
"15001","100616473","MIR4432","microRNA 4432"
"15002","53335","BCL11A","BAF chromatin remodeling complex subunit BCL11A"
"15003","64895","PAPOLG","poly(A) polymerase gamma"
"15004","400957","LINC01185","long intergenic non-protein coding RNA 1185"
"15005","5966","REL","REL proto-oncogene, NF-kB subunit"
"15006","150962","PUS10","pseudouridine synthase 10"
"15007","5194","PEX13","peroxisomal biogenesis factor 13"
"15008","84542","KIAA1841","KIAA1841"
"15009","339803","LOC339803","uncharacterized LOC339803"
"15010","339804","C2orf74","chromosome 2 open reading frame 74"
"15011","130872","AHSA2P","activator of HSP90 ATPase homolog 2, pseudogene"
"15012","9736","USP34","ubiquitin specific peptidase 34"
"15013","100124537","SNORA70B","small nucleolar RNA, H/ACA box 70B"
"15014","7514","XPO1","exportin 1"
"15015","84140","FAM161A","FAM161 centrosomal protein A"
"15016","10575","CCT4","chaperonin containing TCP1 subunit 4"
"15017","150684","COMMD1","copper metabolism domain containing 1"
"15018","10678","B3GNT2","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"
"15019","100847087","MIR5192","microRNA 5192"
"15020","200728","TMEM17","transmembrane protein 17"
"15021","23301","EHBP1","EH domain binding protein 1"
"15022","100132215","LOC100132215","uncharacterized LOC100132215"
"15023","5013","OTX1","orthodenticle homeobox 1"
"15024","100169989","DBIL5P2","diazepam binding inhibitor-like 5 pseudogene 2"
"15025","51057","WDPCP","WD repeat containing planar cell polarity effector"
"15026","4190","MDH1","malate dehydrogenase 1"
"15027","7360","UGP2","UDP-glucose pyrophosphorylase 2"
"15028","51542","VPS54","VPS54 subunit of GARP complex"
"15029","57162","PELI1","pellino E3 ubiquitin protein ligase 1"
"15030","150992","LINC00309","long intergenic non-protein coding RNA 309"
"15031","100507006","LOC100507006","uncharacterized LOC100507006"
"15032","102465833","MIR4433B","microRNA 4433b"
"15033","100616265","MIR4433A","microRNA 4433a"
"15034","29094","LGALSL","galectin like"
"15035","101927402","LOC101927402","uncharacterized LOC101927402"
"15036","54812","AFTPH","aftiphilin"
"15037","100616419","MIR4434","microRNA 4434"
"15038","339807","LINC02579","long intergenic non-protein coding RNA 2579"
"15039","9792","SERTAD2","SERTA domain containing 2"
"15040","101927438","LINC01800","long intergenic non-protein coding RNA 1800"
"15041","400958","LINC02245","long intergenic non-protein coding RNA 2245"
"15042","6509","SLC1A4","solute carrier family 1 member 4"
"15043","23177","CEP68","centrosomal protein 68"
"15044","5861","RAB1A","RAB1A, member RAS oncogene family"
"15045","10097","ACTR2","actin related protein 2"
"15046","200734","SPRED2","sprouty related EVH1 domain containing 2"
"15047","102724258",NA,NA
"15048","100616464","MIR4778","microRNA 4778"
"15049","729348","LINC01873","long intergenic non-protein coding RNA 1873"
"15050","730198","MEIS1-AS3","MEIS1 antisense RNA 3"
"15051","4211","MEIS1","Meis homeobox 1"
"15052","100873998","MEIS1-AS2","MEIS1 antisense RNA 2"
"15053","100507073","LINC01798","long intergenic non-protein coding RNA 1798"
"15054","101927577","LINC01797","long intergenic non-protein coding RNA 1797"
"15055","101060019","LINC01799","long intergenic non-protein coding RNA 1799"
"15056","102724321","LINC01628","long intergenic non-protein coding RNA 1628"
"15057","102800447","LINC01828","long intergenic non-protein coding RNA 1828"
"15058","644838","LINC01829","long intergenic non-protein coding RNA 1829"
"15059","101927661","LOC101927661","uncharacterized LOC101927661"
"15060","54465","ETAA1","ETAA1 activator of ATR kinase"
"15061","101927701","LINC01812","long intergenic non-protein coding RNA 1812"
"15062","10438","C1D","C1D nuclear receptor corepressor"
"15063","116143","WDR92","WD repeat domain 92"
"15064","56902","PNO1","partner of NOB1 homolog"
"15065","5534","PPP3R1","protein phosphatase 3 regulatory subunit B, alpha"
"15066","25927","CNRIP1","cannabinoid receptor interacting protein 1"
"15067","5341","PLEK","pleckstrin"
"15068","554251","FBXO48","F-box protein 48"
"15069","200558","APLF","aprataxin and PNKP like factor"
"15070","10887","PROKR1","prokineticin receptor 1"
"15071","9938","ARHGAP25","Rho GTPase activating protein 25"
"15072","27302","BMP10","bone morphogenetic protein 10"
"15073","200504","GKN2","gastrokine 2"
"15074","56287","GKN1","gastrokine 1"
"15075","84168","ANTXR1","ANTXR cell adhesion molecule 1"
"15076","100423030","MIR3126","microRNA 3126"
"15077","2673","GFPT1","glutamine--fructose-6-phosphate transaminase 1"
"15078","27247","NFU1","NFU1 iron-sulfur cluster scaffold"
"15079","22848","AAK1","AP2 associated kinase 1"
"15080","100124535","SNORA36C","small nucleolar RNA, H/ACA box 36C"
"15081","307","ANXA4","annexin A4"
"15082","64395","GMCL1","germ cell-less 1, spermatogenesis associated"
"15083","11017","SNRNP27","small nuclear ribonucleoprotein U4/U6.U5 subunit 27"
"15084","4084","MXD1","MAX dimerization protein 1"
"15085","151516","ASPRV1","aspartic peptidase retroviral like 1"
"15086","400960","PCBP1-AS1","PCBP1 antisense RNA 1"
"15087","5093","PCBP1","poly(rC) binding protein 1"
"15088","100133985","LINC01816","long intergenic non-protein coding RNA 1816"
"15089","54980","C2orf42","chromosome 2 open reading frame 42"
"15090","7072","TIA1","TIA1 cytotoxic granule associated RNA binding protein"
"15091","100189231","TRG-CCC2-1","tRNA-Gly (anticodon CCC) 2-1"
"15092","100302268","MIR1285-2","microRNA 1285-2"
"15093","51449","PCYOX1","prenylcysteine oxidase 1"
"15094","6637","SNRPG","small nuclear ribonucleoprotein polypeptide G"
"15095","84908","FAM136A","family with sequence similarity 136 member A"
"15096","7039","TGFA","transforming growth factor alpha"
"15097","100874273","TGFA-IT1","TGFA intronic transcript 1"
"15098","119","ADD2","adducin 2"
"15099","344018","FIGLA","folliculogenesis specific bHLH transcription factor"
"15100","165530","CLEC4F","C-type lectin domain family 4 member F"
"15101","50489","CD207","CD207 molecule"
"15102","104355141","LINC01143","long intergenic non-protein coding RNA 1143"
"15103","25806","VAX2","ventral anterior homeobox 2"
"15104","525","ATP6V1B1","ATPase H+ transporting V1 subunit B1"
"15105","101927750","ATP6V1B1-AS1","ATP6V1B1 antisense RNA 1"
"15106","79998","ANKRD53","ankyrin repeat domain 53"
"15107","113419","TEX261","testis expressed 261"
"15108","79315","OR7E91P","olfactory receptor family 7 subfamily E member 91 pseudogene"
"15109","55577","NAGK","N-acetylglucosamine kinase"
"15110","84693","MCEE","methylmalonyl-CoA epimerase"
"15111","10199","MPHOSPH10","M-phase phosphoprotein 10"
"15112","400961","PAIP2B","poly(A) binding protein interacting protein 2B"
"15113","27332","ZNF638","zinc finger protein 638"
"15114","8291","DYSF","dysferlin"
"15115","56603","CYP26B1","cytochrome P450 family 26 subfamily B member 1"
"15116","23233","EXOC6B","exocyst complex component 6B"
"15117","6697","SPR","sepiapterin reductase"
"15118","2016","EMX1","empty spiracles homeobox 1"
"15119","94097","SFXN5","sideroflexin 5"
"15120","26056","RAB11FIP5","RAB11 family interacting protein 5"
"15121","344022","NOTO","notochord homeobox"
"15122","10322","SMYD5","SMYD family member 5"
"15123","84279","PRADC1","protease associated domain containing 1"
"15124","10574","CCT7","chaperonin containing TCP1 subunit 7"
"15125","150726","FBXO41","F-box protein 41"
"15126","1961","EGR4","early growth response 4"
"15127","7840","ALMS1","ALMS1 centrosome and basal body associated protein"
"15128","100874291","ALMS1-IT1","ALMS1 intronic transcript 1"
"15129","9027","NAT8","N-acetyltransferase 8 (putative)"
"15130","200420","ALMS1P1","ALMS1 pseudogene 1"
"15131","51471","NAT8B","N-acetyltransferase 8B (putative, gene/pseudogene)"
"15132","51002","TPRKB","TP53RK binding protein"
"15133","8446","DUSP11","dual specificity phosphatase 11"
"15134","388960","C2orf78","chromosome 2 open reading frame 78"
"15135","10617","STAMBP","STAM binding protein"
"15136","72","ACTG2","actin gamma 2, smooth muscle"
"15137","1716","DGUOK","deoxyguanosine kinase"
"15138","100874048","DGUOK-AS1","DGUOK antisense RNA 1"
"15139","200424","TET3","tet methylcytosine dioxygenase 3"
"15140","388962","BOLA3","bolA family member 3"
"15141","100507171","BOLA3-AS1","BOLA3 divergent transcript"
"15142","55233","MOB1A","MOB kinase activator 1A"
"15143","10797","MTHFD2","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"15144","57835","SLC4A5","solute carrier family 4 member 5"
"15145","1639","DCTN1","dynactin subunit 1"
"15146","100189589","DCTN1-AS1","DCTN1 antisense RNA 1"
"15147","105369169",NA,NA
"15148","388963","C2orf81","chromosome 2 open reading frame 81"
"15149","84058","WDR54","WD repeat domain 54"
"15150","6242","RTKN","rhotekin"
"15151","100532735","INO80B-WBP1","INO80B-WBP1 readthrough (NMD candidate)"
"15152","83444","INO80B","INO80 complex subunit B"
"15153","23559","WBP1","WW domain binding protein 1"
"15154","7841","MOGS","mannosyl-oligosaccharide glucosidase"
"15155","116540","MRPL53","mitochondrial ribosomal protein L53"
"15156","84865","CCDC142","coiled-coil domain containing 142"
"15157","64427","TTC31","tetratricopeptide repeat domain 31"
"15158","85474","LBX2","ladybird homeobox 2"
"15159","151534","LBX2-AS1","LBX2 antisense RNA 1"
"15160","84759","PCGF1","polycomb group ring finger 1"
"15161","3196","TLX2","T cell leukemia homeobox 2"
"15162","165545","DQX1","DEAQ-box RNA dependent ATPase 1"
"15163","550","AUP1","AUP1 lipid droplet regulating VLDL assembly factor"
"15164","27429","HTRA2","HtrA serine peptidase 2"
"15165","84695","LOXL3","lysyl oxidase like 3"
"15166","1796","DOK1","docking protein 1"
"15167","130951","M1AP","meiosis 1 associated protein"
"15168","10505","SEMA4F","ssemaphorin 4F"
"15169","3099","HK2","hexokinase 2"
"15170","102724515","LINC01291","long intergenic non-protein coding RNA 1291"
"15171","56655","POLE4","DNA polymerase epsilon 4, accessory subunit"
"15172","6869","TACR1","tachykinin receptor 1"
"15173","100846995","MIR5000","microRNA 5000"
"15174","84141","EVA1A","eva-1 homolog A, regulator of programmed cell death"
"15175","101927884","LOC101927884","uncharacterized LOC101927884"
"15176","9801","MRPL19","mitochondrial ribosomal protein L19"
"15177","6936","GCFC2","GC-rich sequence DNA-binding factor 2"
"15178","80059","LRRTM4","leucine rich repeat transmembrane neuronal 4"
"15179","101927907","LRRTM4-AS1","LRRTM4 antisense RNA 1"
"15180","101927967","LOC101927967","uncharacterized LOC101927967"
"15181","101927926","LINC01851","long intergenic non-protein coding RNA 1851"
"15182","100170221","SNAR-H","small NF90 (ILF3) associated RNA H"
"15183","101927948","LOC101927948","uncharacterized LOC101927948"
"15184","130120","REG3G","regenerating family member 3 gamma"
"15185","5968","REG1B","regenerating family member 1 beta"
"15186","5967","REG1A","regenerating family member 1 alpha"
"15187","5969","REG1CP","regenerating family member 1 gamma, pseudogene"
"15188","5068","REG3A","regenerating family member 3 alpha"
"15189","101927987","CTNNA2-AS1","CTNNA2 antisense RNA 1"
"15190","1496","CTNNA2","catenin alpha 2"
"15191","100422888","MIR4264","microRNA 4264"
"15192","102465877","MIR8080","microRNA 8080"
"15193","347730","LRRTM1","leucine rich repeat transmembrane neuronal 1"
"15194","100507201","LINC01815","long intergenic non-protein coding RNA 1815"
"15195","1720","DHFRP3","dihydrofolate reductase pseudogene 3"
"15196","101928031","LINC01809","long intergenic non-protein coding RNA 1809"
"15197","388965","FUNDC2P2","FUN14 domain containing 2 pseudogene 2"
"15198","8802","SUCLG1","succinate-CoA ligase alpha subunit"
"15199","1768","DNAH6","dynein axonemal heavy chain 6"
"15200","129293","TRABD2A","TraB domain containing 2A"
"15201","9168","TMSB10","thymosin beta 10"
"15202","56888","KCMF1","potassium channel modulatory factor 1"
"15203","83439","TCF7L1","transcription factor 7 like 1"
"15204","102724579","LOC102724579","uncharacterized LOC102724579"
"15205","10618","TGOLN2","trans-golgi network protein 2"
"15206","54884","RETSAT","retinol saturase"
"15207","84173","ELMOD3","ELMO domain containing 3"
"15208","822","CAPG","capping actin protein, gelsolin like"
"15209","284948","SH2D6","SH2 domain containing 6"
"15210","100630918","PARTICL","promoter of MAT2A antisense radiation-induced circulating long non-coding RNA"
"15211","4144","MAT2A","methionine adenosyltransferase 2A"
"15212","2677","GGCX","gamma-glutamyl carboxylase"
"15213","8673","VAMP8","vesicle associated membrane protein 8"
"15214","10791","VAMP5","vesicle associated membrane protein 5"
"15215","51255","RNF181","ring finger protein 181"
"15216","129303","TMEM150A","transmembrane protein 150A"
"15217","10713","USP39","ubiquitin specific peptidase 39"
"15218","388969","C2orf68","chromosome 2 open reading frame 68"
"15219","6439","SFTPB","surfactant protein B"
"15220","10578","GNLY","granulysin"
"15221","84913","ATOH8","atonal bHLH transcription factor 8"
"15222","102466516","MIR6071","microRNA 6071"
"15223","284950","LOC284950","uncharacterized LOC284950"
"15224","8869","ST3GAL5","ST3 beta-galactoside alpha-2,3-sialyltransferase 5"
"15225","101928113","ST3GAL5-AS1","ST3GAL5 antisense RNA 1 (head to head)"
"15226","90784",NA,NA
"15227","25885","POLR1A","RNA polymerase I subunit A"
"15228","55037","PTCD3","pentatricopeptide repeat domain 3"
"15229","692225","SNORD94","small nucleolar RNA, C/D box 94"
"15230","10989","IMMT","inner membrane mitochondrial protein"
"15231","100616159","MIR4779","microRNA 4779"
"15232","51318","MRPL35","mitochondrial ribosomal protein L35"
"15233","65055","REEP1","receptor accessory protein 1"
"15234","55818","KDM3A","lysine demethylase 3A"
"15235","51652","CHMP3","charged multivesicular body protein 3"
"15236","100526767","RNF103-CHMP3","RNF103-CHMP3 readthrough"
"15237","7844","RNF103","ring finger protein 103"
"15238","64795","RMND5A","required for meiotic nuclear division 5 homolog A"
"15239","925","CD8A","CD8a molecule"
"15240","926","CD8B","CD8b molecule"
"15241","100286979","ANAPC1P1","anaphase promoting complex subunit 1 pseudogene 1"
"15242","400966","RGPD1","RANBP2 like and GRIP domain containing 1"
"15243","5343","PLGLB1","plasminogen like B1"
"15244","285074","LOC285074","anaphase promoting complex subunit 1 pseudogene"
"15245","102724642","LOC102724642","anaphase-promoting complex subunit 1-like"
"15246","100616370","MIR4771-1","microRNA 4771-1"
"15247","105377638",NA,NA
"15248","105377639",NA,NA
"15249","112597","CYTOR","cytoskeleton regulator RNA"
"15250","100616499","MIR4435-1","microRNA 4435-1"
"15251","730268","LOC730268","anaphase promoting complex subunit 1 pseudogene"
"15252","5342","PLGLB2","plasminogen like B2"
"15253","729857","RGPD2","RANBP2 like and GRIP domain containing 2"
"15254","51315","KRCC1","lysine rich coiled-coil 1"
"15255","150572","SMYD1","SET and MYND domain containing 1"
"15256","100616447","MIR4780","microRNA 4780"
"15257","2168","FABP1","fatty acid binding protein 1"
"15258","55258","THNSL2","threonine synthase like 2"
"15259","344167","FOXI3","forkhead box I3"
"15260","200523","TEX37","testis expressed 37"
"15261","101928371","LOC101928371","uncharacterized LOC101928371"
"15262","9451","EIF2AK3","eukaryotic translation initiation factor 2 alpha kinase 3"
"15263","101928403","EIF2AK3-DT","EIF2AK3 divergent transcript"
"15264","22934","RPIA","ribose 5-phosphate isomerase A"
"15265","645784","ANKRD36BP2","ankyrin repeat domain 36B pseudogene 2"
"15266","100616399","MIR4436A","microRNA 4436a"
"15267","3514","IGKC","immunoglobulin kappa constant"
"15268","28946","IGKJ5","immunoglobulin kappa joining 5"
"15269","28947","IGKJ4","immunoglobulin kappa joining 4"
"15270","28948","IGKJ3","immunoglobulin kappa joining 3"
"15271","28949","IGKJ2","immunoglobulin kappa joining 2"
"15272","28950","IGKJ1","immunoglobulin kappa joining 1"
"15273","28908","IGKV4-1","immunoglobulin kappa variable 4-1"
"15274","28907","IGKV5-2","immunoglobulin kappa variable 5-2"
"15275","28905","IGKV7-3","immunoglobulin kappa variable 7-3 (pseudogene)"
"15276","28929","IGKV2-4","immunoglobulin kappa variable 2-4 (pseudogene)"
"15277","28299","IGKV1-5","immunoglobulin kappa variable 1-5"
"15278","28943","IGKV1-6","immunoglobulin kappa variable 1-6"
"15279","28915","IGKV3-7","immunoglobulin kappa variable 3-7 (non-functional)"
"15280","28942","IGKV1-8","immunoglobulin kappa variable 1-8"
"15281","28941","IGKV1-9","immunoglobulin kappa variable 1-9"
"15282","28928","IGKV2-10","immunoglobulin kappa variable 2-10 (pseudogene)"
"15283","28914","IGKV3-11","immunoglobulin kappa variable 3-11"
"15284","28940","IGKV1-12","immunoglobulin kappa variable 1-12"
"15285","28939","IGKV1-13","immunoglobulin kappa variable 1-13 (gene/pseudogene)"
"15286","28927","IGKV2-14","immunoglobulin kappa variable 2-14 (pseudogene)"
"15287","28913","IGKV3-15","immunoglobulin kappa variable 3-15"
"15288","28938","IGKV1-16","immunoglobulin kappa variable 1-16"
"15289","28937","IGKV1-17","immunoglobulin kappa variable 1-17"
"15290","28926","IGKV2-18","immunoglobulin kappa variable 2-18 (pseudogene)"
"15291","28925","IGKV2-19","immunoglobulin kappa variable 2-19 (pseudogene)"
"15292","28912","IGKV3-20","immunoglobulin kappa variable 3-20"
"15293","28906","IGKV6-21","immunoglobulin kappa variable 6-21 (non-functional)"
"15294","28936","IGKV1-22","immunoglobulin kappa variable 1-22 (pseudogene)"
"15295","28924","IGKV2-23","immunoglobulin kappa variable 2-23 (pseudogene)"
"15296","28923","IGKV2-24","immunoglobulin kappa variable 2-24"
"15297","28911","IGKV3-25","immunoglobulin kappa variable 3-25 (pseudogene)"
"15298","28922","IGKV2-26","immunoglobulin kappa variable 2-26 (pseudogene)"
"15299","28935","IGKV1-27","immunoglobulin kappa variable 1-27"
"15300","28921","IGKV2-28","immunoglobulin kappa variable 2-28"
"15301","28920","IGKV2-29","immunoglobulin kappa variable 2-29 (gene/pseudogene)"
"15302","28919","IGKV2-30","immunoglobulin kappa variable 2-30"
"15303","28910","IGKV3-31","immunoglobulin kappa variable 3-31 (pseudogene)"
"15304","28934","IGKV1-32","immunoglobulin kappa variable 1-32 (pseudogene)"
"15305","28933","IGKV1-33","immunoglobulin kappa variable 1-33"
"15306","28909","IGKV3-34","immunoglobulin kappa variable 3-34 (pseudogene)"
"15307","28932","IGKV1-35","immunoglobulin kappa variable 1-35 (pseudogene)"
"15308","28918","IGKV2-36","immunoglobulin kappa variable 2-36 (pseudogene)"
"15309","28931","IGKV1-37","immunoglobulin kappa variable 1-37 (non-functional)"
"15310","28917","IGKV2-38","immunoglobulin kappa variable 2-38 (pseudogene)"
"15311","28930","IGKV1-39","immunoglobulin kappa variable 1-39 (gene/pseudogene)"
"15312","28916","IGKV2-40","immunoglobulin kappa variable 2-40"
"15313","105379433",NA,NA
"15314","28878","IGKV2D-40","immunoglobulin kappa variable 2D-40"
"15315","28893","IGKV1D-39","immunoglobulin kappa variable 1D-39"
"15316","28894","IGKV1D-37","immunoglobulin kappa variable 1D-37 (non-functional)"
"15317","28896","IGKV1D-33","immunoglobulin kappa variable 1D-33"
"15318","28881","IGKV2D-30","immunoglobulin kappa variable 2D-30"
"15319","28882","IGKV2D-29","immunoglobulin kappa variable 2D-29"
"15320","28883","IGKV2D-28","immunoglobulin kappa variable 2D-28"
"15321","28884","IGKV2D-26","immunoglobulin kappa variable 2D-26"
"15322","28885","IGKV2D-24","immunoglobulin kappa variable 2D-24 (non-functional)"
"15323","28870","IGKV6D-21","immunoglobulin kappa variable 6D-21 (non-functional)"
"15324","28874","IGKV3D-20","immunoglobulin kappa variable 3D-20"
"15325","28869","IGKV6D-41","immunoglobulin kappa variable 6D-41 (non-functional)"
